ElapsedTime,Friction
2.65,981000.1
2.7,981000.1
2.75,986000.1
2.8,991000.1
2.85,996000.1
2.9,1001000
2.95,1006000
3,1011000
3.05,1016000
3.1,1021000
3.15,1026000
3.2,1031000
3.25,1036000
3.3,1041000
3.35,1046000
3.4,1051000
3.45,1056000
3.5,1061000
3.55,1066000
3.6,1071000
3.65,1076000
3.7,1081000
3.75,1086000
3.8,1091000
3.85,1096000
3.9,1101000
3.95,1106000
4,1111000
4.05,1116000
4.1,1121000
4.15,1126000
4.2,1131000
4.25,1136000
4.3,1141000
4.35,1146000
4.4,1151000
4.45,1156000
4.5,1161000
4.55,1166000
4.6,1171000
4.65,1176000
4.7,1181000
4.75,1186000
4.8,1191000
4.85,1196000
4.9,1201000
4.95,1206000
5,1211000
5.05,1216000
5.1,1221000
5.15,1226000
5.2,1231000
5.25,1236000
5.3,1241000
5.35,1246000
5.4,1251000
5.45,1256000
5.5,1261000
5.55,1266000
5.6,1271000
5.65,1276000
5.7,1281000
5.75,1286000
5.8,1291000
5.85,1296000
5.9,1301000
5.95,1306000
6,1311000
6.05,1316000
6.1,1321000
6.15,1326000
6.2,1331000
6.25,1336000
6.3,1341000
6.35,1346000
6.4,1351000
6.45,1356000
6.5,1361000
6.55,1366000
6.6,1371000
6.65,1376000
6.7,1381000
6.75,1386000
6.8,1391000
6.85,1396000
6.9,1401000
6.95,1406000
7,1411000
7.05,1416000
7.1,1421000
7.15,1426000
7.2,1431000
7.25,1436000
7.3,1441000
7.35,1446000
7.4,1451000
7.45,1456000
7.5,1461000
7.55,1466000
7.6,1471000
7.65,1476000
7.7,1481000
7.75,1486000
7.8,1491000
7.85,1496000
7.9,1501000
7.95,1506000
8,1511000
8.05,1516000
8.1,1521000
8.15,1526000
8.2,1531000
8.25,1536000
8.3,1541000
8.35,1546000
8.4,1551000
8.45,1556000
8.5,1561000
8.55,1566000
8.6,1571000
8.65,1576000
8.7,1581000
8.75,1586000
8.8,1591000
8.85,1596000
8.9,1601000
8.95,1606000
9,1611000
9.05,1616000
9.1,1621000
9.15,1626000
9.2,1631000
9.25,1636000
9.3,1641000
9.35,1646000
9.4,1651000
9.45,1656000
9.5,1661000
9.55,1666000
9.6,1671000
9.65,1676000
9.7,1681000
9.75,1686000
9.8,1691000
9.85,1696000
9.9,1701000
9.95,1706000
10,1711000
10.05,1716000
10.1,1721000
10.15,1726000
10.2,1731000
10.25,1736000
10.3,1741000
10.35,1746000
10.4,1751000
10.45,1756000
10.5,1761000
10.55,1766000
10.6,1771000
10.65,1776000
10.7,1781000
10.75,1786000
10.8,1791000
10.85,1796000
10.9,1801000
10.95,1806000
11,1811000
11.05,1816000
11.1,1821000
11.15,1826000
11.2,1831000
11.25,1836000
11.3,1841000
11.35,1846000
11.4,1851000
11.45,1856000
11.5,1861000
11.55,1866000
11.6,1871000
11.65,1876000
11.7,1881000
11.75,1886000
11.8,1891000
11.85,1896000
11.9,1901000
11.95,1906000
12,1911000
12.05,1916000
12.1,1921000
12.15,1926000
12.2,1931000
12.25,1936000
12.3,1941000
12.35,1946000
12.4,1951000
12.45,1956000
12.5,1961000
12.55,1966000
12.6,1971000
12.65,1976000
12.7,1981000
12.75,1986000
12.8,1991000
12.85,1996000
12.9,2001000
12.95,2006000
13,2011000
13.05,2016000
13.1,2021000
13.15,2026000
13.2,2031000
13.25,2036000
13.3,2041000
13.35,2046000
13.4,2051000
13.45,2056000
13.5,2061000
13.55,2066000
13.6,2071000
13.65,2076000
13.7,2081000
13.75,2086000
13.8,2091000
13.85,2096000
13.9,2101000
13.95,2106000
14,2111000
14.05,2116000
14.1,2121000
14.15,2126000
14.2,2131000
14.25,2136000
14.3,2141000
14.35,2146000
14.4,2151000
14.45,2156000
14.5,2161000
14.55,2166000
14.6,2171000
14.65,2176000
14.7,2181000
14.75,2186000
14.8,2191000
14.85,2196000
14.9,2201000
14.95,2206000
15,2211000
15.05,2216000
15.1,2221000
15.15,2226000
15.2,2231000
15.25,2236000
15.3,2241000
15.35,2246000
15.4,2251000
15.45,2256000
15.5,2261000
15.55,2266000
15.6,2271000
15.65,2276000
15.7,2281000
15.75,2286000
15.8,2291000
15.85,2296000
15.9,2301000
15.95,2306000
16,2311000
16.05,2316000
16.1,2321000
16.15,2326000
16.2,2331000
16.25,2336000
16.3,2341000
16.35,2346000
16.4,2351000
16.45,2356000
16.5,2361000
16.55,2366000
16.6,2371000
16.65,2376000
16.7,2381000
16.75,2386000
16.8,2391000
