ElapsedTime,FrictionForceMagnitude
530,2460687
531,2465687
532,2470162
533,2466627
534,2463126
535,2459661
536,2464661
537,2469134
538,2465607
539,2462118
540,2467118
541,2471595
542,2468042
543,2464531
544,2461050
545,2466050
546,2470525
547,2466985
548,2463484
549,2460011
550,2465011
551,2469485
552,2465958
553,2462465
554,2467465
555,2471938
556,2468385
557,2464871
558,2461386
559,2466386
560,2470861
561,2467316
562,2463811
563,2460339
564,2465339
565,2469811
566,2466281
567,2462785
568,2467785
569,2472260
570,2468702
571,2465184
572,2461698
573,2466698
574,2471172
575,2467627
576,2464115
577,2460640
578,2465640
579,2470116
580,2466581
581,2463078
582,2459615
583,2464615
584,2469089
585,2465562
586,2462073
587,2467073
588,2471547
589,2468001
590,2464487
591,2461006
592,2466006
593,2470481
594,2466941
595,2463439
596,2459972
597,2464972
598,2469443
599,2465914
600,2462423
601,2467423
602,2471900
603,2468346
604,2464828
605,2461346
606,2466346
607,2470821
608,2467276
609,2463772
610,2460300
611,2465300
612,2469774
613,2466242
614,2462745
615,2467745
616,2472221
617,2468665
618,2465143
619,2461661
620,2466661
621,2471135
622,2467590
623,2464079
624,2460604
625,2465604
626,2470077
627,2466545
628,2463044
629,2459580
630,2464580
631,2469052
632,2465527
633,2462039
634,2467039
635,2471515
636,2467965
637,2464451
638,2460974
639,2465974
640,2470449
641,2466908
642,2463406
643,2459940
644,2464940
645,2469412
646,2465884
647,2462390
648,2467390
649,2471864
650,2468312
651,2464795
652,2461317
653,2466317
654,2470790
655,2467247
656,2463741
657,2460268
658,2465268
659,2469744
660,2466212
661,2462715
662,2467716
663,2472192
664,2468636
665,2465116
666,2461631
667,2466631
668,2471104
669,2467562
670,2464053
671,2460577
672,2465577
673,2470051
674,2466516
675,2463017
676,2459554
677,2464554
678,2469027
679,2465503
680,2462012
681,2467012
682,2471487
683,2467939
684,2464426
685,2460946
686,2465946
687,2470420
688,2466883
689,2463383
690,2459912
691,2464912
692,2469385
693,2465859
694,2462366
695,2467366
696,2471842
697,2468288
698,2464772
699,2461289
700,2466289
701,2470765
702,2467224
703,2463716
704,2460247
705,2465247
706,2469721
707,2466188
708,2462693
709,2467693
710,2472168
711,2468613
712,2465095
713,2461609
714,2466609
715,2471083
716,2467539
717,2464032
718,2460554
719,2465554
720,2470030
721,2466494
722,2462997
723,2459530
724,2464530
725,2469003
726,2465482
727,2461992
728,2466992
729,2471468
730,2467918
731,2464407
732,2460928
733,2465928
734,2470404
735,2466863
736,2463361
737,2459894
738,2464894
739,2469367
740,2465839
741,2462346
742,2467346
743,2471824
744,2468271
745,2464755
746,2461273
747,2466273
748,2470748
749,2467204
750,2463700
751,2460229
752,2465229
753,2469702
754,2466170
755,2462675
756,2467675
757,2472154
758,2468595
759,2465077
760,2461592
761,2466592
762,2471065
763,2467523
764,2464013
765,2460538
766,2465538
767,2470013
768,2466478
769,2462980
770,2459515
771,2464515
772,2468988
773,2465466
774,2461975
775,2466975
776,2471451
777,2467903
778,2464390
779,2460912
780,2465912
781,2470387
782,2466848
783,2463347
784,2459877
785,2464877
786,2469349
787,2465825
788,2462332
789,2467332
790,2471807
791,2468255
792,2464738
793,2461259
794,2466259
795,2470732
796,2467192
797,2463686
798,2460212
799,2465212
800,2469686
801,2466156
802,2462662
803,2467662
804,2472135
805,2468581
806,2465063
807,2461579
808,2466579
809,2471052
810,2467508
811,2463998
812,2460523
813,2465523
814,2469998
815,2466465
816,2462966
817,2459502
818,2464502
819,2468975
820,2465452
821,2461963
822,2466963
823,2471439
824,2467889
825,2464377
826,2460896
827,2465896
828,2470371
829,2466834
830,2463334
831,2459865
832,2464866
833,2469337
834,2465811
835,2462319
836,2467319
837,2471793
838,2468241
839,2464727
840,2461244
841,2466244
842,2470719
843,2467179
844,2463673
845,2460203
846,2465203
847,2469675
848,2466144
849,2462651
850,2467651
851,2472128
852,2468570
853,2465052
854,2461567
855,2466567
856,2471042
857,2467497
858,2463988
859,2460514
860,2465514
861,2469989
862,2466455
863,2462957
864,2459490
865,2464490
866,2468965
867,2465441
868,2461952
869,2466952
870,2471428
871,2467880
872,2464366
873,2460890
874,2465890
875,2470365
876,2466825
877,2463325
878,2459856
879,2464856
880,2469328
881,2465802
882,2462311
883,2467311
884,2471788
885,2468235
886,2464719
887,2461237
888,2466237
889,2470713
890,2467170
891,2463663
892,2460196
893,2465197
894,2469668
895,2466138
896,2462644
897,2467644
898,2472118
899,2468563
900,2465044
901,2461559
902,2466559
903,2471035
904,2467490
905,2463983
906,2460507
907,2465507
908,2469982
909,2466447
910,2462950
911,2459485
912,2464485
913,2468958
914,2465436
915,2461946
916,2466946
917,2471420
918,2467876
919,2464362
920,2460883
921,2465883
922,2470359
923,2466819
924,2463319
925,2459851
926,2464851
927,2469324
928,2465796
929,2462304
930,2467304
931,2471780
932,2468231
933,2464713
934,2461232
935,2466232
936,2470707
937,2467163
938,2463660
939,2460189
940,2465189
941,2469663
942,2466132
943,2462638
944,2467638
945,2472112
946,2468558
947,2465038
948,2461551
949,2466551
950,2471027
951,2467485
952,2463975
953,2460503
954,2465503
955,2469975
956,2466441
957,2462944
958,2467944
959,2472421
960,2468861
961,2465338
962,2461854
963,2466854
964,2471328
965,2467780
966,2464268
967,2460791
968,2465791
969,2470266
970,2466729
971,2463228
972,2459762
973,2464762
974,2469233
975,2465709
976,2462217
977,2467217
978,2471692
979,2468143
980,2464628
981,2461147
982,2466147
983,2470620
984,2467081
985,2463577
986,2460106
987,2465106
988,2469580
989,2466050
990,2462556
991,2467556
992,2472031
993,2468477
994,2464956
995,2461476
996,2466476
997,2470948
998,2467407
999,2463900
1000,2460424
1001,2465424
1002,2469901
1003,2466366
1004,2462869
1005,2467869
1006,2472346
1007,2468787
1008,2465267
1009,2461777
1010,2466777
1011,2471253
1012,2467707
1013,2464196
1014,2460722
1015,2465722
1016,2470193
1017,2466660
1018,2463156
1019,2459693
1020,2464693
1021,2469166
1022,2465639
1023,2462149
1024,2467149
1025,2471624
1026,2468076
1027,2464562
1028,2461082
1029,2466082
1030,2470555
1031,2467017
1032,2463512
1033,2460045
1034,2465045
1035,2469515
1036,2465987
1037,2462492
1038,2467492
1039,2471969
1040,2468416
1041,2464896
1042,2461414
1043,2466414
1044,2470890
1045,2467348
1046,2463841
1047,2460365
1048,2465365
1049,2469839
1050,2466308
1051,2462810
1052,2467810
1053,2472285
1054,2468730
1055,2465209
1056,2461724
1057,2466724
1058,2471200
1059,2467653
1060,2464143
1061,2460667
1062,2465667
1063,2470140
1064,2466606
1065,2463106
1066,2459638
1067,2464638
1068,2469111
1069,2465588
1070,2462097
1071,2467097
1072,2471571
1073,2468024
1074,2464510
1075,2461031
1076,2466031
1077,2470506
1078,2466966
1079,2463463
1080,2459993
1081,2464993
1082,2469465
1083,2465939
1084,2462443
1085,2467443
1086,2471920
1087,2468369
1088,2464850
1089,2461367
1090,2466367
1091,2470842
1092,2467301
1093,2463793
1094,2460322
1095,2465322
1096,2469795
1097,2466262
1098,2462767
1099,2467767
1100,2472244
